product_id,product_name,category,subcategory,brand,price,rating,n_ratings,description,image_url
PROD_00001,Samsung Mobile,Electronics,mobile,Samsung,17626.13,4.0,1878,Smartphone with advanced camera and 5G connectivity,https://placehold.co/300x200?text=Samsung+Mobile
PROD_00002,Sony Mobile,Electronics,mobile,Sony,92329.48,4.4,4517,Smartphone with advanced camera and 5G connectivity,https://placehold.co/300x200?text=Sony+Mobile
PROD_00003,Samsung Mobile,Electronics,mobile,Samsung,77001.71,3.7,817,Smartphone with advanced camera and 5G connectivity,https://placehold.co/300x200?text=Samsung+Mobile
PROD_00004,OnePlus Mobile,Electronics,mobile,OnePlus,39429.39,4.3,4647,Smartphone with advanced camera and 5G connectivity,https://placehold.co/300x200?text=OnePlus+Mobile
PROD_00005,Logitech Laptop,Electronics,laptop,Logitech,60350.67,4.5,103,High-performance laptop for work and gaming,https://placehold.co/300x200?text=Logitech+Laptop
PROD_00006,Sony Laptop,Electronics,laptop,Sony,115286.03,4.2,1323,High-performance laptop for work and gaming,https://placehold.co/300x200?text=Sony+Laptop
PROD_00007,Dell Tablet,Electronics,tablet,Dell,26132.62,4.0,2990,Portable tablet with stylus support,https://placehold.co/300x200?text=Dell+Tablet
PROD_00008,Dell Tablet,Electronics,tablet,Dell,56223.56,4.4,3813,Portable tablet with stylus support,https://placehold.co/300x200?text=Dell+Tablet
PROD_00009,Samsung Earphones,Electronics,earphones,Samsung,24368.22,4.2,4572,Wireless earbuds with noise cancellation,https://placehold.co/300x200?text=Samsung+Earphones
PROD_00010,HP Earphones,Electronics,earphones,HP,20991.01,4.4,3012,Wireless earbuds with noise cancellation,https://placehold.co/300x200?text=HP+Earphones
PROD_00011,OnePlus Earphones,Electronics,earphones,OnePlus,18057.44,3.8,1916,Wireless earbuds with noise cancellation,https://placehold.co/300x200?text=OnePlus+Earphones
PROD_00012,HP Earphones,Electronics,earphones,HP,24652.71,4.7,877,Wireless earbuds with noise cancellation,https://placehold.co/300x200?text=HP+Earphones
PROD_00013,HP Mouse,Electronics,mouse,HP,4064.55,4.8,1382,Ergonomic wireless mouse with precision tracking,https://placehold.co/300x200?text=HP+Mouse
PROD_00014,Dell Mouse,Electronics,mouse,Dell,3357.95,4.7,634,Ergonomic wireless mouse with precision tracking,https://placehold.co/300x200?text=Dell+Mouse
PROD_00015,Sony Mouse,Electronics,mouse,Sony,4645.81,4.2,3836,Ergonomic wireless mouse with precision tracking,https://placehold.co/300x200?text=Sony+Mouse
PROD_00016,HP Keyboard,Electronics,keyboard,HP,11890.0,4.5,4612,Mechanical keyboard with RGB backlight,https://placehold.co/300x200?text=HP+Keyboard
PROD_00017,OnePlus Keyboard,Electronics,keyboard,OnePlus,8688.45,4.7,508,Mechanical keyboard with RGB backlight,https://placehold.co/300x200?text=OnePlus+Keyboard
PROD_00018,OnePlus Keyboard,Electronics,keyboard,OnePlus,10128.93,4.7,3336,Mechanical keyboard with RGB backlight,https://placehold.co/300x200?text=OnePlus+Keyboard
PROD_00019,Samsung Monitor,Electronics,monitor,Samsung,22127.18,4.7,2627,4K Ultra HD monitor with HDR support,https://placehold.co/300x200?text=Samsung+Monitor
PROD_00020,OnePlus Monitor,Electronics,monitor,OnePlus,43461.06,4.2,3808,4K Ultra HD monitor with HDR support,https://placehold.co/300x200?text=OnePlus+Monitor
PROD_00021,Sony Monitor,Electronics,monitor,Sony,24714.25,4.0,4648,4K Ultra HD monitor with HDR support,https://placehold.co/300x200?text=Sony+Monitor
PROD_00022,HP Charger,Electronics,charger,HP,2367.53,3.9,4830,Fast charging adapter with multiple ports,https://placehold.co/300x200?text=HP+Charger
PROD_00023,Logitech Charger,Electronics,charger,Logitech,1404.99,4.5,1183,Fast charging adapter with multiple ports,https://placehold.co/300x200?text=Logitech+Charger
PROD_00024,Bose Charger,Electronics,charger,Bose,727.27,3.5,948,Fast charging adapter with multiple ports,https://placehold.co/300x200?text=Bose+Charger
PROD_00025,Sony Charger,Electronics,charger,Sony,2068.62,4.3,3508,Fast charging adapter with multiple ports,https://placehold.co/300x200?text=Sony+Charger
PROD_00026,Samsung Smartwatch,Electronics,smartwatch,Samsung,20390.69,4.3,3884,Fitness tracking smartwatch with heart rate monitor,https://placehold.co/300x200?text=Samsung+Smartwatch
PROD_00027,HP Smartwatch,Electronics,smartwatch,HP,43843.14,4.6,144,Fitness tracking smartwatch with heart rate monitor,https://placehold.co/300x200?text=HP+Smartwatch
PROD_00028,Samsung Smartwatch,Electronics,smartwatch,Samsung,32268.41,4.2,2235,Fitness tracking smartwatch with heart rate monitor,https://placehold.co/300x200?text=Samsung+Smartwatch
PROD_00029,Dell Smartwatch,Electronics,smartwatch,Dell,9462.09,4.1,3766,Fitness tracking smartwatch with heart rate monitor,https://placehold.co/300x200?text=Dell+Smartwatch
PROD_00030,HP Camera,Electronics,camera,HP,146486.01,4.9,4208,Mirrorless camera with 4K video recording,https://placehold.co/300x200?text=HP+Camera
PROD_00031,Samsung Camera,Electronics,camera,Samsung,133814.82,4.4,4208,Mirrorless camera with 4K video recording,https://placehold.co/300x200?text=Samsung+Camera
PROD_00032,H&M Dress,Fashion,dress,H&M,3309.18,4.4,4468,Elegant evening dress for special occasions,https://placehold.co/300x200?text=H&M+Dress
PROD_00033,Nike Dress,Fashion,dress,Nike,9465.44,4.1,966,Elegant evening dress for special occasions,https://placehold.co/300x200?text=Nike+Dress
PROD_00034,Puma Dress,Fashion,dress,Puma,13326.36,4.4,2569,Elegant evening dress for special occasions,https://placehold.co/300x200?text=Puma+Dress
PROD_00035,H&M Dress,Fashion,dress,H&M,1999.37,4.5,695,Elegant evening dress for special occasions,https://placehold.co/300x200?text=H&M+Dress
PROD_00036,Ray-Ban Heels,Fashion,heels,Ray-Ban,10068.24,4.5,4413,Stylish high heels with comfortable padding,https://placehold.co/300x200?text=Ray-Ban+Heels
PROD_00037,Zara Heels,Fashion,heels,Zara,2848.11,4.0,4553,Stylish high heels with comfortable padding,https://placehold.co/300x200?text=Zara+Heels
PROD_00038,Levi's Shirt,Fashion,shirt,Levi's,3016.23,4.4,1785,Formal cotton shirt with wrinkle resistance,https://placehold.co/300x200?text=Levi's+Shirt
PROD_00039,H&M Shirt,Fashion,shirt,H&M,3794.39,4.2,3109,Formal cotton shirt with wrinkle resistance,https://placehold.co/300x200?text=H&M+Shirt
PROD_00040,Ray-Ban Jeans,Fashion,jeans,Ray-Ban,2286.53,4.1,2819,Slim fit denim jeans with stretch fabric,https://placehold.co/300x200?text=Ray-Ban+Jeans
PROD_00041,Nike Jeans,Fashion,jeans,Nike,5324.01,4.1,1854,Slim fit denim jeans with stretch fabric,https://placehold.co/300x200?text=Nike+Jeans
PROD_00042,Nike Jeans,Fashion,jeans,Nike,1961.46,4.5,1925,Slim fit denim jeans with stretch fabric,https://placehold.co/300x200?text=Nike+Jeans
PROD_00043,Nike Watch,Fashion,watch,Nike,43262.5,4.1,1999,Classic analog watch with leather strap,https://placehold.co/300x200?text=Nike+Watch
PROD_00044,Levi's Watch,Fashion,watch,Levi's,34110.93,4.2,1133,Classic analog watch with leather strap,https://placehold.co/300x200?text=Levi's+Watch
PROD_00045,Ray-Ban Sunglasses,Fashion,sunglasses,Ray-Ban,4401.96,4.2,3384,UV protection sunglasses with polarized lenses,https://placehold.co/300x200?text=Ray-Ban+Sunglasses
PROD_00046,H&M Sunglasses,Fashion,sunglasses,H&M,2320.56,4.4,2952,UV protection sunglasses with polarized lenses,https://placehold.co/300x200?text=H&M+Sunglasses
PROD_00047,Gucci Sunglasses,Fashion,sunglasses,Gucci,6755.43,4.6,493,UV protection sunglasses with polarized lenses,https://placehold.co/300x200?text=Gucci+Sunglasses
PROD_00048,Adidas Sunglasses,Fashion,sunglasses,Adidas,1848.58,4.4,945,UV protection sunglasses with polarized lenses,https://placehold.co/300x200?text=Adidas+Sunglasses
PROD_00049,H&M Handbag,Fashion,handbag,H&M,6374.8,4.2,3506,Designer leather handbag with multiple compartments,https://placehold.co/300x200?text=H&M+Handbag
PROD_00050,Zara Handbag,Fashion,handbag,Zara,8406.54,4.0,667,Designer leather handbag with multiple compartments,https://placehold.co/300x200?text=Zara+Handbag
PROD_00051,Adidas Shoes,Fashion,shoes,Adidas,2505.88,4.9,170,Running shoes with cushioned sole,https://placehold.co/300x200?text=Adidas+Shoes
PROD_00052,Adidas Shoes,Fashion,shoes,Adidas,11263.67,4.7,1412,Running shoes with cushioned sole,https://placehold.co/300x200?text=Adidas+Shoes
PROD_00053,Gucci Shoes,Fashion,shoes,Gucci,6856.41,4.1,3335,Running shoes with cushioned sole,https://placehold.co/300x200?text=Gucci+Shoes
PROD_00054,Zara Jacket,Fashion,jacket,Zara,9442.54,4.8,2222,Waterproof winter jacket with thermal lining,https://placehold.co/300x200?text=Zara+Jacket
